di_B2	dw_Friday	m_Mar	205	0.00225420877272	0.0939935809262
di_B2	dw_Friday	m_May	169	0.00185834771995	0.077487391105
di_B2	dw_Friday	m_Nov	176	0.00193532070243	0.0806969280147
di_B2	dw_Friday	m_Oct	169	0.00185834771995	0.077487391105
di_B2	dw_Friday	m_Sep	237	0.00260608526407	0.108665749656
di_B2	dw_Friday	of_3006	133	0.00146248666718	0.0609812012838
di_B2	dw_Friday	of_3115	104	0.00114359859689	0.0476845483723
di_B2	dw_Friday	of_3301	135	0.00148447894789	0.0618982118294
di_B2	dw_Friday	of_3831	110	0.00120957543902	0.0504355800092
di_B2	dw_Friday	of_802	114	0.00125356000044	0.0522696011004
di_B2	dw_Friday	st_BLUE_HILL_AVE	112	0.00123156771973	0.0513525905548
di_B2	dw_Friday	st_DUDLEY_ST	111	0.00122057157938	0.050894085282
di_B2	dw_Monday	hr_10	131	0.00144049438647	0.0635922330097
di_B2	dw_Monday	hr_11	106	0.0011655908776	0.0514563106796
di_B2	dw_Monday	hr_12	131	0.00144049438647	0.0635922330097
di_B2	dw_Monday	hr_13	111	0.00122057157938	0.0538834951456
di_B2	dw_Monday	hr_14	135	0.00148447894789	0.0655339805825
di_B2	dw_Monday	hr_15	120	0.00131953684257	0.0582524271845
di_B2	dw_Monday	hr_16	133	0.00146248666718	0.0645631067961
di_B2	dw_Monday	hr_17	150	0.00164942105321	0.0728155339806
di_B2	dw_Monday	hr_18	131	0.00144049438647	0.0635922330097
di_B2	dw_Monday	hr_19	111	0.00122057157938	0.0538834951456
di_B2	dw_Monday	hr_20	104	0.00114359859689	0.0504854368932
di_B2	dw_Monday	m_Apr	172	0.00189133614101	0.0834951456311
di_B2	dw_Monday	m_Aug	173	0.00190233228137	0.0839805825243
di_B2	dw_Monday	m_Dec	181	0.00199030140421	0.0878640776699
di_B2	dw_Monday	m_Feb	142	0.00156145193037	0.068932038835
di_B2	dw_Monday	m_Jan	179	0.0019683091235	0.0868932038835
di_B2	dw_Monday	m_Jul	211	0.00232018561485	0.102427184466
di_B2	dw_Monday	m_Jun	163	0.00179237087782	0.0791262135922
di_B2	dw_Monday	m_Mar	142	0.00156145193037	0.068932038835
di_B2	dw_Monday	m_May	146	0.00160543649179	0.0708737864078
di_B2	dw_Monday	m_Nov	150	0.00164942105321	0.0728155339806
di_B2	dw_Monday	m_Oct	202	0.00222122035166	0.0980582524272
